Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
102,Sales price (excl. commissions): Supplement (Supplement=1000+),v4off___,stdvkp_s,float,False,0,,
103,Markup % (cost),v4off___,marge__b,float,False,0,,
104,Minimum AV,v4off___,min__twb,float,False,0,,
105,Margin % (Sales volume),v4off___,marge2_b,float,False,0,,
106,AV / (WAGES + MACH.),v4off___,ratio1_b,float,False,0,,
107,AV / WAGES,v4off___,ratio2_b,float,False,0,,
108,AV / press hour,v4off___,tw_drukb,float,False,0,,
109,AV coverage ratio,v4off___,dek_tw_b,float,False,0,,
110,AV / SP,v4off___,vkp_tw_b,float,False,0,,
111,External costs / SP,v4off___,vkpakp_b,float,False,0,,
112,SP / Paper,v4off___,vkppap_b,float,False,0,,
113,(AV-W)/SP,v4off___,vkp_twlb,float,False,0,,
114,% on costs: Wage cost,v4off___,loo____b,float,False,0,,
115,% on costs: Machines,v4off___,mac____b,float,False,0,,
116,% on costs: Overheads,v4off___,ovh____b,float,False,0,,
117,% on costs: Paper,v4off___,paper__b,float,False,0,,
118,% on costs: Materials,v4off___,grdst__b,float,False,0,,
119,% on costs: Outside Services,v4off___,onda___b,float,False,0,,
120,Gross margin m2,v4off___,gross_margin_m2,float,True,0,,
121,Gross margin,v4off___,gross_margin,float,True,0,,
122,Gross margin %,v4off___,gross_margin_pct,float,True,0,,
123,Sales price comment,v4off___,vkp__kom,nchar,False,40,,
124,Sales price: verified (Y/N/V),v4off___,vkp___ok,nchar,False,1,,
125,Sales price: History,v4off___,vkp__his,nchar,False,200,,
126,Behaviour on cost change,v4off___,kst__vkp,nchar,False,1,VerkoopprijsKost,
127,% discount,v4off___,vk_k_pct,float,False,0,,
128,Discount amount,v4off___,vk_k_vst,float,False,0,,
129,% Commission,v4off___,vk_kmpct,float,False,0,,
130,% invoice discount,v4off___,vk_kfpct,float,False,0,,
131,% Concession,v4off___,vk_topct,float,False,0,,
132,Concession amount,v4off___,vk_tovst,float,False,0,,
133,Sales price report with/without prepress report: 1=Met 2=zonder,v4off___,vkpan_pp,nchar,False,1,,
134,Prepress in quote letter: 1=Met prepress 2= Prepress apart 3=Prepress apart,v4off___,offbr_pp,nchar,False,1,,
135,Prepress placing: 1=vooraan prepress 2=achteraan,v4off___,plts__pp,nchar,False,1,PlaatsPrepress,
136,Costs: uptodate (Y/N),v4off___,uptodate,nchar,False,1,,
137,Total cost,v4off___,kst____b,float,False,0,,
138,Total cost (Supplement),v4off___,kst____s,float,False,0,,
139,Cost budget,v4off___,kstb_ref,nchar,False,6,,
140,Quantity 1 (Alternative quantities),v4off___,oplage_1,float,False,0,,
141,Quantity 2 (Alternative quantities),v4off___,oplage_2,float,False,0,,
142,Quantity 3 (Alternative quantities),v4off___,oplage_3,float,False,0,,
143,Quantity 4 (Alternative quantities),v4off___,oplage_4,float,False,0,,
144,Quantity 5 (Alternative quantities),v4off___,oplage_5,float,False,0,,
145,Sales price: Quantity 1 (Alternative quantities),v4off___,vkp____1,float,False,0,,
146,Sales price: Quantity 2 (Alternative quantities),v4off___,vkp____2,float,False,0,,
147,Sales price: Quantity 3 (Alternative quantities),v4off___,vkp____3,float,False,0,,
148,Sales price: Quantity 4 (Alternative quantities),v4off___,vkp____4,float,False,0,,
149,Sales price: Quantity 5 (Alternative quantities),v4off___,vkp____5,float,False,0,,
150,Price/1000: Quantity 1 (Alternative quantities),v4off___,stukp__1,float,False,0,,
151,Price/1000: Quantity 2 (Alternative quantities),v4off___,stukp__2,float,False,0,,
152,Price/1000: Quantity 3 (Alternative quantities),v4off___,stukp__3,float,False,0,,
153,Price/1000: Quantity 4 (Alternative quantities),v4off___,stukp__4,float,False,0,,
154,Price/1000: Quantity 5 (Alternative quantities),v4off___,stukp__5,float,False,0,,
155,Cost product change,v4off___,kst_afgw,float,False,0,,
156,Indien artikel: uitgeput,v4off___,uitgeput,nchar,False,1,,
157,End-of-life comment,v4off___,kom_afsl,nchar,False,40,,
158,Will be published on internet (WebLabels),v4off___,weblabel,nchar,False,1,,
159,Show price info on internet (Y/N),v4off___,prijsweb,nchar,False,1,,
160,Will be published on Customer Portal (Y/N),v4off___,internet,nchar,False,1,,
161,Can be used to generate jobs (Y/N),v4off___,prodcalc,nchar,False,1,Productiecalculatie,
162,Can be used to calculate the sales price (Y/N),v4off___,vkp_calc,nchar,False,1,CalculatiePrijsberekening,
163,Change timestamp,v4off___,tijd_wij,float,False,0,,
164,Size x,v4off___,fmtpag_x,float,False,0,,
165,Size y,v4off___,fmtpag_y,float,False,0,,
166,Number of versions,v4off___,aant_vrs,integer,False,0,,
167,Automatic job creation,v4off___,prodcrea,nchar,False,1,,
168,Automatic jdf sending,v4off___,prod_jdf,nchar,False,1,,
169,URL Production Layout,v4off___,url__lay,nchar,False,200,,
170,Gang job,v4off___,gang_job,nchar,False,1,,
171,Split costs to jobs in the gang parts,v4off___,gang_kst,nchar,False,1,,
172,Prepress template,v4off___,tmpl_ref,nchar,False,250,,
173,ID gangjob in other prepress software,v4off___,ppjob_id,nchar,False,50,,
174,Online editeren (Y/N),v4off___,editeren,nchar,False,1,,
175,Document,v4off___,editordo,nchar,False,50,,
176,Use 2nd quantity,v4off___,grp__prd,nchar,False,1,,
177,Value of the 2nd quantity,v4off___,grp__inh,integer,False,0,,
178,Internal description 2e quantity,v4off___,grp__oms,nchar,False,15,,
179,Description 2nd quantity quoteletter,v4off___,grp__brf,nchar,False,15,,
180,Allow virtual versions,v4off___,virt_vrs,nchar,False,1,,
