Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
92,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvm5_kg,float,False,0,,
93,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvm6_kg,float,False,0,,
94,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvm7_kg,float,False,0,,
95,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvm8_kg,float,False,0,,
96,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvm9_kg,float,False,0,,
97,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvma_kg,float,False,0,,
98,Aankoopprijs prijsstaffel dragers (kg) for.cur.,drgers__,prvm__kg,float,False,0,,
99,"Count wastes: Vaste rollenge (1: No,2: Yes)",drgers__,bst__typ,nchar,False,1,,
100,"Count wastes: Fixed roll width (1: No,2: Yes)",drgers__,bst2_typ,nchar,False,1,,
101,"Count wastes: Minimum opp. (1: No,2: Yes)",drgers__,bst3_typ,nchar,False,1,,
102,Description (Language 1),drgers__,taal___1,nchar,False,100,,
103,Description (Language 2),drgers__,taal___2,nchar,False,100,,
104,Description (Language 3),drgers__,taal___3,nchar,False,100,,
105,Description (Language 4),drgers__,taal___4,nchar,False,100,,
106,Description (Language 5),drgers__,taal___5,nchar,False,100,,
107,Description (Language 6),drgers__,taal___6,nchar,False,100,,
108,Description (Language 7),drgers__,taal___7,nchar,False,100,,
109,Description (Language 8),drgers__,taal___8,nchar,False,100,,
110,Description (Language 9),drgers__,taal___9,nchar,False,100,,
111,Standaardbreedtes (Y/N),drgers__,stdbrrek,nchar,False,1,,
112,Publish on internet,drgers__,weblabel,nchar,False,1,,
113,Online RFQ,drgers__,rfqonw4l,nchar,False,1,,
114,Coating,drgers__,gecoat__,nchar,False,1,,
115,Coating factor,drgers__,coat_fct,float,False,0,,
116,Website,drgers__,website_,nchar,False,255,,
117,Discount,drgers__,korting_,float,False,0,,
118,Average roll length,drgers__,rlweti_l,float,False,0,,
119,Digital media,drgers__,digmedrf,nchar,False,6,,
120,Varnish mandatory,drgers__,lak_vrpl,nchar,False,1,,
121,Varnish mandatory - commentaar,drgers__,lak_comm,nchar,False,50,,
122,Feature,drgers__,kenmerk_,nchar,False,25,,
123,Factory,drgers__,fabriek,nchar,False,50,,
124,Currency ID,drgers__,munt_ref,nchar,False,3,,
125,No. of decimal places,drgers__,aant_dec,integer,False,0,,
126,Exchange rate,drgers__,koers___,float,False,0,,
127,Horizontal shrink factor,drgers__,krimp__b,float,False,0,,
128,Vertical shrink factor,drgers__,krimp__h,float,False,0,,
129,Solvent,drgers__,art_ref1,nchar,False,15,,
130,Different calculation price,drgers__,calc_pry,nchar,False,1,JaNee,
131,ISO 2493 bending moment MD (TABER15°),drgers__,buigmoment_taber15_md,float,False,0,,
132,ISO 2493 bending moment CD (TABER15°),drgers__,buigmoment_taber15_cd,float,False,0,,
133,ISO 5628 bending stiffness MD (L&W5°),drgers__,buigstijfheid_lw5_md,float,False,0,,
134,ISO 5628 bending stiffness CD (L&W5°),drgers__,buigstijfheid_lw5_cd,float,False,0,,
135,ISO 5628 bending stiffness (negative tolerance),drgers__,buigstijfheid_lw5_tol_neg,float,False,0,,
136,ISO 5628 bending stiffness (positive tolerance),drgers__,buigstijfheid_lw5_tol_pos,float,False,0,,
137,ISO 2470 whiteness front,drgers__,witheid_iso2470_boven,float,False,0,,
138,ISO 2470 whiteness front (minimum),drgers__,witheid_iso2470_boven_min,float,False,0,,
139,ISO 2470 whiteness front (maximum),drgers__,witheid_iso2470_boven_max,float,False,0,,
140,ISO 2470 whiteness back,drgers__,witheid_iso2470_onder,float,False,0,,
141,ISO 2470 whiteness back (minimum),drgers__,witheid_iso2470_onder_min,float,False,0,,
142,ISO 2470 whiteness back (maximum),drgers__,witheid_iso2470_onder_max,float,False,0,,
143,ISO 11475 whiteness front,drgers__,witheid_iso11475_boven,float,False,0,,
144,ISO 11475 whiteness back,drgers__,witheid_iso11475_onder,float,False,0,,
145,ISO 56312 whiteness front (L),drgers__,witheid_iso56312_l_boven,float,False,0,,
146,ISO 56312 whiteness back (L),drgers__,witheid_iso56312_l_onder,float,False,0,,
147,ISO 56312 whiteness front (A),drgers__,witheid_iso56312_a_boven,float,False,0,,
148,ISO 56312 whiteness back (A),drgers__,witheid_iso56312_a_onder,float,False,0,,
149,ISO 56312 whiteness front (B),drgers__,witheid_iso56312_b_boven,float,False,0,,
150,ISO 56312 whiteness back (B),drgers__,witheid_iso56312_b_onder,float,False,0,,
151,Grease resistance,drgers__,vetbestendigheid,integer,False,0,,
152,Robinson,drgers__,robinson,float,False,0,,
153,"May coating be in contact with food? (U: Undetermined, Y: Yes, N: No)",drgers__,voeding,nchar,False,1,,
154,Brighteners,drgers__,witmakers,nchar,False,15,,
155,"Coated front (U: Undetermined, Y: Yes, N: No)",drgers__,gestreken_boven,nchar,False,1,,
156,"Coated back (U: Undetermined, Y: Yes, N: No)",drgers__,gestreken_onder,nchar,False,1,,
157,Creation date,drgers__,crea_dat,date,False,0,,
158,Latest change date,drgers__,wij__dat,date,False,0,,
159,User latest modif.,drgers__,wij__usr,nchar,False,30,,
160,Country origin,drgers__,kolom_6a,nchar,False,3,LandcodesIntrastat,
161,Commodity code,drgers__,kolom_10,nchar,False,20,,
162,,drgers__,land_productie,nchar,False,2,,
