Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
94,Production time (Offline finishing),v4etaf__,prod_tyd,nchar,False,6,,
95,,v4etaf__,wikk_tyd,nchar,False,6,,
96,,v4etaf__,tot__tyd,nchar,False,6,,
97,Order type,v4etaf__,bst__typ,nchar,False,1,,
98,Verlies rolbreedte doorrekenen aan klant (1/2),v4etaf__,bst2_typ,nchar,False,1,,
99,Verlies min. oppervlakte doorrekenen aan klant (1/2),v4etaf__,bst3_typ,nchar,False,1,,
100,,v4etaf__,bst__bre,float,False,0,,
101,,v4etaf__,bst__len,float,False,0,,
102,,v4etaf__,bstminm2,float,False,0,,
103,,v4etaf__,bst__rol,float,False,0,,
104,,v4etaf__,bst___m2,float,False,0,,
105,,v4etaf__,bst___kg,float,False,0,,
106,,v4etaf__,bst_serv,nchar,False,25,,
107,,v4etaf__,bst____m,float,False,0,,
108,,v4etaf__,bstmin_m,float,False,0,,
109,,v4etaf__,vrbpap__,float,False,0,,
110,,v4etaf__,vrbpapm2,float,False,0,,
111,,v4etaf__,vrbpapkg,float,False,0,,
112,Verlies door rolbreedte in te geven (lengte),v4etaf__,vlsrb__l,float,False,0,,
113,Verlies door rolbreedte in te geven (Width),v4etaf__,vlsrb__b,float,False,0,,
114,Verlies door rolbreedte in te geven (opp),v4etaf__,vlsrb_m2,float,False,0,,
115,Verlies door rolbreedte in te geven (gewicht),v4etaf__,vlsrb_kg,float,False,0,,
116,Verlies door rollengte in te geven (lengte),v4etaf__,vlsrl__l,float,False,0,,
117,Verlies door rollengte in te geven (Width),v4etaf__,vlsrl__b,float,False,0,,
118,Verlies door rollengte in te geven (opp),v4etaf__,vlsrl_m2,float,False,0,,
119,Verlies door rollengte in te geven (gewicht),v4etaf__,vlsrl_kg,float,False,0,,
120,,v4etaf__,vlsmn__l,float,False,0,,
121,,v4etaf__,vlsmn__b,float,False,0,,
122,,v4etaf__,vlsmn_m2,float,False,0,,
123,,v4etaf__,vlsmn_kg,float,False,0,,
124,Discount,v4etaf__,drg_kort,float,False,0,,
125,Micro-metrical thickness,v4etaf__,diktemic,float,False,0,,
