Sequence number,English,Table,Column,Type,Nullable,Size,Crmcode,
87,(deprecated),grsbon__,totfp_om,float,False,0,,
88,Total delivered,grsbon__,teofk_bm,float,False,0,,
89,Extra bedrag factuur (for.cur.),grsbon__,fprto2vm,float,False,0,,
90,Extra amount invoice,grsbon__,fprto2bm,float,False,0,,
91,(deprecated),grsbon__,fprto2om,float,False,0,,
92,Order value,grsbon__,totbp_bm,float,False,0,,
93,Order value (for.cur.),grsbon__,totbp_vm,float,False,0,,
94,Total delivery,grsbon__,totlp_bm,float,False,0,,
95,Total delivery (for.cur.),grsbon__,totlp_vm,float,False,0,,
96,Call-off contract ID,grsbon__,aktr_ref,nchar,False,6,,
97,Sequence no.,grsbon__,volgnr__,nchar,False,3,,
98,Pricing agreement,grsbon__,salesgroup_id,nchar,False,100,,
